Mensaje,Clasificación,,,,,,,,,,,,,,,,,
Saluditos mi amigo Gustavo que bonita familia,,,,,,,,,,,,,,,,,,
Eso mi Gustavo saludos a todos por alla,,,,,,,,,,,,,,,,,,
Muy hermosa familia saludos alex,,,,,,,,,,,,,,,,,,
Aquí estamos saludos a su bonita familia  los recordamos siempre 👍,,,,,,,,,,,,,,,,,,
Muchísimas felicidades tiene una hermosa familia,,,,,,,,,,,,,,,,,,
Saludos familia,,,,,,,,,,,,,,,,,,
Bendiciones familia Almada Borquez,,,,,,,,,,,,,,,,,,
Ke guapos,,,,,,,,,,,,,,,,,,
Eyy saludossss,,,,,,,,,,,,,,,,,,
Hermosa familia.bendiciones,,,,,,,,,,,,,,,,,,
qué bonita familia !😘,,,,,,,,,,,,,,,,,,
Bella familia 💕,,,,,,,,,,,,,,,,,,
Que padre saludos,,,,,,,,,,,,,,,,,,
Que bellos me encantan,,,,,,,,,,,,,,,,,,
es grato verlos, saludos de Benjamín y Aurelia,,,,,,,,,,,,,,,,,
Ya mero le entramos a la grilla ni pan ni pri con gustavo si,,,,,,,,,,,,,,,,,,
Disculpa mi ignorancia Gustavo.....pero acaso este leperazo tiene fuero todavía???,,,,,,,,,,,,,,,,,,
Excelente este ejemplo lo deberían de tomar todos los partidos ya el pueblo no aguanta tanta injusticia y tanta desigualdad en nuestro país.,,,,,,,,,,,,,,,,,,
Aqui en sonora ..no creo ..nos faltan muchos pantalones para quitarles el fuero..gustavo..no hay esa voluntad de la gente politica , porque ,,,,,,,,,,,,,,,,,
Se acabara el día que nuestros diputados realicen el trabajo legislativo conforme a la petición del pueblo y no de sus propios intereses.,,,,,,,,,,,,,,,,,,
Eres pan con lo mismo no has llegado a nada pero si llegado va ser lo mismo que  mal estamos,,,,,,,,,,,,,,,,,,
Y Gustavo Almada, me gustaría participar en tu proyecto Me gusta Cajeme.,,,,,,,,,,,,,,,,,
Ecojovenes Esperanza,,,,,,,,,,,,,,,,,,
Puro p adelante sr Almada puro movimiento ciudadano xq yo soy cajeme,,,,,,,,,,,,,,,,,,
Porque yo SOY cajeme, yo me apunto.,,,,,,,,,,,,,,,,,
Adelante mi alcalde!!!,,,,,,,,,,,,,,,,,,
Felicidades a todos,,,,,,,,,,,,,,,,,,
Me gusta......esperó poder participar con su proyecto.,,,,,,,,,,,,,,,,,,
Ah trabajar con estas colonias  se que usted .los va ayudar .   Felicidades sr gustavo  ya mire sus nuevas oficinas .. ah dar ah conocer est,,,,,,,,,,,,,,,,,,
Ya en la col. Estrella de Cócorit no tenemos luz, hay baja tensión y eso hace que los aparatos eléctricos se descompongan. Es lo mismo todos,,,,,,,,,,,,,,,,,
Yo en mi caso, que se desagan de todas las pandillas de la villa y de mi pueblo, drogadictos, marihuanos, rateros que nd mas buscan dañar o ,,,,,,,,,,,,,,
Exiganle atencion al tino no le busquen por otro lado haber si les haces el favor,,,,,,,,,,,,,,,,,,
Por lo pronto y para no sufrir perdidas por una inundación comprate un seguro para casa habitación son económicos Clayton Ibarra Gerardo ojo,,,,,,,,,,,,,,,,,,
Nomas vemos nublado y pedimos al cielo que no llueva ,  las familias que vivimos aquí estamos siempre con el temor a inundarnos como hace al,,,,,,,,,,,,,,,,,
Espero y atiendan las necesidades de nosotros.,,,,,,,,,,,,,,,,,,
Y siquiera gestionas o nada más para la goto?...,,,,,,,,,,,,,,,,,,
No es que queramos que le vaya mal al presidente, por que eso equivale a que le vaya mal al país. Lo que queremos es poner el dedo en la lla,,,,,,,,,,,,,,,,,
Así es. Y sigue igual de mentiroso 😠,,,,,,,,,,,,,,,,,,
ASI NO SE HACE POLITICA SR. ALMADA SEA MAS INTELIGENTE. Y NO USE MENTIRAS SOBRE MENTIRAS. VO VIVO EN MEXICALI. Y TENEMOS RANGOS Y APOTACION ,,,,,,,,,,,,,,,,,,
NO HABLEN NOMAS POR HABLAR Y ESPERO LA PALIZA VIRTUAL DE LOS QUE ME QUERAEN CONSIDERAR TRAIDOR, VENDIDO, TONTO,,,,,,,,,,,,,,,,
PRISCILIANO LOS PARTIDOS Y LAS REDES GOLPEAN AL PRESIDENTE, Y DANIEL ES VERDAD SI AL PRESIDENTE LA VA MAL A NOSOTROS TAMBIEN, UNA ACOTACION:,,,,,,,,,,,,,,,,
"PEÑA ES MENTIROSO, TRAICIONERO Y DELINCUENTE; NO QIEREMOS QUE SUCESA IGUAL EN SONORA OTRO PADRES HACIENDO DE LAS SUYAS,",,,,,,,,,,,,,,,,,,
PERDON JUNIO 2015 CONTRA EL RECIBO JUNIO 2016.,,,,,,,,,,,,,,,,,,
Mientras sigan peleando y negocia,do el poder seguimos de pe,dejos pagando el pato estoy de acuerdo que hay que buscar otras opciones,,,,,,,,,,,,,,,,
Mentiroso,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
Sr Gustavo le felicito x su arduo trabajo saludos t acuerdese que don chico de la beltrones aun lo esta esperando para su reunion,,,,,,,,,,,,,,,,,,
Es así creo yo, como de debe hacer política. Cuando un partido,candidato o representante del mismo,se unen al ciudadano común y coordinan es,,,,,,,,,,,,,,,
Mira Bubu Gabs 😃,,,,,,,,,,,,,,,,,,
Lo invito a la Col. Estrella de Cócorit. Estamos a oscuras y ya empezamos el tiempo en que se va la luz cada lluvia. Saludos,,,,,,,,,,,,,,,,,,
Cuando tengan reunion en Zona Norte me avisan.,,,,,,,,,,,,,,,,,,
Muchas felicidades no solo a el partido de los ciudadanos si no a los cajemenses es una nueva oportunidad para tomar las mejores desicion.!!,,,,,,,,,,,,,,,,,,
Y va de nuez! Gracias  por ese entusiasmo y ganas de avanzar, representándonos, cuenten con nuestro apoyo,,,,,,,,,,,,,,,,
"Así es Sr. Almada puro pa delante a echarle ganas y éxitos en todo momento 
Dnd tienen la oficina Sr.Almada ?,",,,,,,,,,,,,,,,,,,
Muchas felicidades Sr. Gustavo Almada Bórquez como siempre cuente con mi apoyo, a la victoria siempre ....saludos,,,,,,,,,,,,,,,,,
Muchas felicidades gustavo y como ustd dice puro para delante que Dios lo bendiga mucha suerte,,,,,,,,,,,,,,,,,,
Muchas felicidades Gustavo Almada...¡ este movimiento ya no lo para nada !,,,,,,,,,,,,,,,,,,
Felicidades...el exito de ustedes será tambien para los ciudadanos,,,,,,,,,,,,,,,,,,
Felicidades Don Gustavo, ojalá pinte anaranjado este 2018. Lo apoyamos! Saludos,,,,,,,,,,,,,,,,,
Que bien. Felicidades seguro que si ahí estaremos siempre apoyándolo Sr Almada.!!!!!😊,,,,,,,,,,,,,,,,,,
Mis felicitaciones gustavo..en hora buena...Suerte.,,,,,,,,,,,,,,,,,,
"Así se habla señor!! 
Y cuente con mi humilde apoyo,",,,,,,,,,,,,,,,,,,
Felicidades Sr. Gustavo puro pa delante .,,,,,,,,,,,,,,,,,,
Eso es todo Gustavo Almada usted para delante,,,,,,,,,,,,,,,,,,
Felicidades!!!,,,,,,,,,,,,,,,,,,
Si vamos por cajeme.,,,,,,,,,,,,,,,,,,
Estoy a sus ordenes sr almada,,,,,,,,,,,,,,,,,,
Bendicionesss,,,,,,,,,,,,,,,,,,
Yo soy ALMADA (Y),,,,,,,,,,,,,,,,,,
Saludos a Mitre !,,,,,,,,,,,,,,,,,,
Suerte sr almada,,,,,,,,,,,,,,,,,,
felicidades, dios bendiga,,,,,,,,,,,,,,,,,
Felicidades se: Mitre y éxito para todo el equipo de m.c,,,,,,,,,,,,,,,,,,
Muchas felicidades Gustavo Almada cuenta con nosotros Saludos,,,,,,,,,,,,,,,,,,
Muchas felicidades Sr.  Almada,  a Cajeme le urge librarse de estos politicos corruptos,,,,,,,,,,,,,,,,,
Animo. AMIGO.  Aqi. Estoi. Ala. Orden aver si ustd. Se. Acuerda. De. Los amigos YA Q HAY JENTES Q LOS APOYAS  DISEN QTE AYUDARAN TE APOYARAN,,,,,,,,,,,,,,,,,,
Disculpe, de q se tratara??,,,,,,,,,,,,,,,,,
A I  estaremos con usted yo y mi familia,,,,,,,,,,,,,,,,,,
Pues si todos con e misma vara,,,,,,,,,,,,,,,,,,
Todos parejos los funcionarios desde el .más chico al más grande a rendir declaración patrimonial y si es público igual para todos y el que ,,,,,,,,,,,,,,,,,,
Adelante sr. Gustavo Almada volveré a votar por usted y si gana espero haga realidad mi petición pavimentar totalmente mi colonia,,,,,,,,,,,,,,,,,,
Es lo que todos sabemos, sólo tengo la esperanza de que ud.  Gustavo Almada si va por la revancha y gana no sea una estadística más de los a,,,,,,,,,,,,,,,,,
Lastima.... el calor y los políticos ahuyenta todo ahi.... no entiendo como no hacer de Cajeme algo que lo haga mas grande junto a su gente.,,,,,,,,,,,,,,,,,,
Yo volvere a votar por usted,,,,,,,,,,,,,,,,,,
Muy lejos del famoso Cajeme 2020.. Hay q hacer algo urgente..,,,,,,,,,,,,,,,,,,
Muy interesante...y muy cierto,,,,,,,,,,,,,,,,,,
Adelante gustavo puro naranja,,,,,,,,,,,,,,,,,,
Muy bien Don Gustavo Almada ahí estaremos apoyándolo con la camiseta más q puesta,,,,,,,,,,,,,,,,,,
Ahí estaremos con la camiseta bien puesta Sr Gustavo Almada,,,,,,,,,,,,,,,,,,
Mis compañeros y yo votaremos por usted sr.Almada 💪,,,,,,,,,,,,,,,,,,
Ahora si podré votar por usted,,,,,,,,,,,,,,,,,,
Lo apoyaremos!,,,,,,,,,,,,,,,,,,
Cree poder ganar esta vez Gustavo Almada Bórquez?,,,,,,,,,,,,,,,,,,
Ay estaremos apoyándolo como la campaña pasada saludos don Gustavo,,,,,,,,,,,,,,,,,,
Pero por supuesto que la tiene que buscar NO nos puede dejar en manos de gente sin compromiso moral tiene que luchar una vez más Don Gustavo,,,,,,,,,,,,,,,,,,
Muy bien Gustavo Almada Felicidades por esas ganas de servir a los cajemenses,,,,,,,,,,,,,,,,,,
Y continuemos #PURO_PA_DELANTE ... Cuente nuevamente con nuestro apoyo,,,,,,,,,,,,,,,,,,
Claro que siiiiii. Mi futuro presidente 😉,,,,,,,,,,,,,,,,,,
Asi es y ariba naranja,,,,,,,,,,,,,,,,,,
Otra vez!... Ya chole que no se traume ya perdió volverá a perder de nuevo!...,,,,,,,,,,,,,,,,,,
Claro que si sera nuestro próximo presidente municipal,,,,,,,,,,,,,,,,,,
EN SONORA EL CHAPO BURS ES EL CACIQUE QUE DOMINA EL ESTADO....SINO, PREGUNTEN LE A FELIPE CALDERÓN. . . .JAJAJA,,,,,,,,,,,,,,,,,
En respuesta a los vecinos afectados en el Tobarito y en espera de que se actúe lo más pronto posible ya se hizo la solicitud para que se at,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Muchísimas gracias a los Regidores de Movimiento Ciudadano. Hace días mire en ese puente que taparon por completo el paso y hoy vi una publi,,,,,,,,,,,,,,,,,,
y he notado que en algunas partes hacen reparaciones de agua o drenaje .. pero cuando terminan  no tapan  con pavimento.. asi lo dejan.... a,,,,,,,,,,,,,,,,,,
Hará un mes algo así lo reportaron por este medio pero el daño estaba a la mitad, le pasó la zafra del trigo por encima pues. . . y ahora.,,,,,,,,,,,,,,,,,
Pues aquí en esperanza igual y no son para mandar taparlo además q faltan altos q se han robado, Cajeme q te esta pasando,,,,,,,,,,,,,,,,,
Como siempre al pendiente de las necesidades que carecemos una prueba más dé su preocupación necesitamos quitarnos la venda de los ojos y ve,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Gracias gustavo......,,,,,,,,,,,,,,,,,,
Pongales. CONCRETO. SR. GUSTAVO A.  Ust. Puede. Nada. Mas. Una. Mañana. O. Una. Tarde. Ponga. Su. GRANO. DE. ARENA.   Q. VEAN. CUAL. ES. LA.,,,,,,,,,,,,,,,,,,
La calle meridiano ni se diga aver cajeme k.alguien nos explique k pasá k.nadie toca el tema esos encargados k se esmeraron en las campañas ,,,,,,,,,,,,,,,,,,
Para  que   estaran guardando tanto dinero.   Que no tenemos  derecho   a buenas vias   de comunicacion.   Ni  servicios  publicos   dignos.,,,,,,,,,,,,,,,,,,
Ana Luisa Ramirez Beatriz Ramirez Huerta Luz Esther Oropeza Ramirez Norma Leticia Oropeza Ramírez,,,,,,,,,,,,,,,,,,
Gracias Soledad!! Saludos,,,,,,,,,,,,,,,,,,
Muchas felicidades sr gustavo un fuerte abrazo y vendisiones,,,,,,,,,,,,,,,,,,
Feliz día Gustavo que Dios lo siga bendiciendo un abrazo, siga disfrutando su dia y para rematar que gane su equipo jaja,,,,,,,,,,,,,,,,,
Saludos Sr Gustavo.,,,,,,,,,,,,,,,,,,
A quien le iba?,,,,,,,,,,,,,,,,,,
Felicidade,,,,,,,,,,,,,,,,,,
Felicidades Sr Gustavo Almada,,,,,,,,,,,,,,,,,,
Feliz dia señor Gustavo,,,,,,,,,,,,,,,,,,
Un abrazo con respeto y feliz día para usted bendiciones,,,,,,,,,,,,,,,,,,
Un abrazo y buen dia para usted tambien,,,,,,,,,,,,,,,,,,
Y a ti también Gustavo felicidades,,,,,,,,,,,,,,,,,,
Igualmente,,,,,,,,,,,,,,,,,,
Un abrazo mi Gustavo !!!!,,,,,,,,,,,,,,,,,,
Y para usted también Gustavo un feliz día!!,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Y para usted tambien Don Gustavo Almada k dios lo bendiga,,,,,,,,,,,,,,,,,,
Feliz Dia del Padre Gustavo.Un Abrazo.....SUERTE.,,,,,,,,,,,,,,,,,,
Eso es todo Sr.Gustavo Almada a echarle gana y puro pa delante saludos a la sra. Del Río!!! Dios me los bendiga siempre y Michas felicidades,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Gustavo luego luego sacas tu sangre azul, porque no haces referencia a Héctor Larios que ese estuvo peor todavía porque no asistió y hay mas,,,,,,,,,,,,,,,,,
Que triste la politica puros intereses propios y el pueblo hehe, los que se han ido de este mundo porque esta yeno de delincuencia de la fue,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
que digan sus razones al pueblo.   ya entonces dependera de cada ciudadano si esta de acuerdo o no.,,,,,,,,,,,,,,,,,,
"Oscar Hernandez ahi esta el trabajo de la ""diputada"" Anabel Acosta,",,,,,,,,,,,,,,,,,,
A QUE TIENEN MIEDO.??,,,,,,,,,,,,,,,,,,
Que bien aprovecha el momento para criticar a quienes seguramente uno de los 2 será su rival en la contienda por la Alcaldía de Cajeme en el,,,,,,,,,,,,,,,,,,
"El Pri en sus spots después de las pasadas elecciones dice ""entender y asumir con responsabilidad el mensaje que le dieron los ciudadanos en,",,,,,,,,,,,,,,,,,,
YA BASTA.,,,,,,,,,,,,,,,,,,
ustedes apoyan esa ley por que les pega en la torre a sus empresas para que nos hacemos, no dan paso sin huachache dirían por ahí,,,,,,,,,,,,,,,,,
Pero se acordaran de los sonorenses en la próximas elecciones,,,,,,,,,,,,,,,,,,
Así como.,,,,,,,,,,,,,,,,,,
Mientras estén estas ratas...... Que puedes esperar ???,,,,,,,,,,,,,,,,,,
Pero eso sí, muy puntuales para cobrar sus súper sueldos y prestaciones a cambio de negarle al país las buenas propuestas que se necesitan p,,,,,,,,,,,,,,,,,
y tanto que cacarea el.senador gandara y la.senadora anabel Acosta ,,,,,,,,,,,,,,,,,,
Que lástima, una muy buena propuesta de los ciudadanos y darnos la espalda de esa manera. Ahí nos veremos en el 2018....,,,,,,,,,,,,,,,,,
Están en contra y quieren seguir robando,pero pronto se les acabará !!,,,,,,,,,,,,,,,,,
Por que no les conviene,  estamos artos de esa politica fuera los jr.,,,,,,,,,,,,,,,,,
Si despues ya no va a estar nadie en la Rep. Estados, Ciudades, Pueblos. Como le van hacer los politicos, no areglan nada por todas partes i,,,,,,,,,,,,,,,
Para que sirven no representan al pueblo de sonora  sólo se benefician disque de nuestra representación hay que tenerlo en cuenta en las pró,,,,,,,,,,,,,,,,,,
nunca aseptaran algo  q. no les convenga.,ladrones,,,,,,,,,,,,,,,,,
Nos vemos en el 2018..,,,,,,,,,,,,,,,,,,
Cola que les pisen deshonestos!!,,,,,,,,,,,,,,,,,,
Será que tienen col,,,,,,,,,,,,,,,,,,
"Ojalá no se olvidé 
Hay que agendarlo para el 2018...  OJO PUEBLO!!,",,,,,,,,,,,,,,,,,,
Que quemen, no es nada las balaceras y muertes de jovencitos inocentes que no se resuelven que porque andan en negocios sucios y mientras si,,,,,,,,,,,,,,,,,
Reporten inmediatamente!,,,,,,,,,,,,,,,,,,
Las autoridades andan acosando a los comercios  por los anuncios por eso no atienden eso,,,,,,,,,,,,,,,,,,
Es increíble que las autoridades no hagan nada, eso es todos los años, es un problema de salud para todos que por respirar el humo acabamos ,,,,,,,,,,,,,,,,
Deberían de quitarles el derecho de siembra a estas personas la verdad es injusto lo que hacen ellos junto con las autoridades que no hacen ,,,,,,,,,,,,,,,,,,
Porque no se quitan los derechos de riego o se inhabilitaría el terreno quemado... No basta con multas. Hay mucho por trabajar respecto a es,,,,,,,,,,,,,,,,,,
Claro q jacen algo las autoridades municipales, les cobran los permisos de quema y la salud de los cajemenses pues no es tan importante, eso,,,,,,,,,,,,,,,,
Es un abúzo lo ke hasen por ke tenemos ke éstar respirando todo ese monton de húmo.....y nadie ase absolutamente nada.,,,,,,,,,,,,,,,,,,
Una muyyyy buena multaaa o quitarles permiso de siembra....es muy obvio,,,,,,,,,,,,,,,,,,
las autoridades de ecologia por que no intervienen, el presidente se hace el disimulado por que el sabe de estas quemas y el daño a la salud,,,,,,,,,,,,,,,,,
Deberian quitarle el permiso de siembra o del agua para ver si sigue. Con eso,,,,,,,,,,,,,,,,,,
En el valle todas las noches queman. No se puede si manejar por las carreteras. Siguen sin hacer nada las autoridades,,,,,,,,,,,,,,,,,,
De plano no tienen conciencia. Y no se puede hacer nada?,,,,,,,,,,,,,,,,,,
Las autoridades ya saben quienes hacen eso cada año y no les hacen nada,,,,,,,,,,,,,,,,,,
"Malena Martinez Alejandra Avila Martinez ...
 Ahi esta la razon y mis hijas bien gracias... 😠😠😠😠😠,",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hasta cuando se va a parar eso!!! :(,,,,,,,,,,,,,,,,,,
"Gustavo...estas quemas de gavilla   NUNCA  son  ni  fueron ,  accidentes...
Que se hagan de la vi$ta gorda e$ otra co$a....,",,,,,,,,,,,,,,,,,,
SON LOS MISMOS DE SIEMPREEE LOS RICOS QUE SI OS MULTAN NO PAGAN POR Q ESTAN AGARRADOS ARRIBA Y EL TRACTORISTA CREO Q NO TIENE QUE VER CON LA,,,,,,,,,,,,,,,,,,
Con.  Rason  nos estamos. Adando,,,,,,,,,,,,,,,,,,
"me parece muy bien .. solo que seria bueno que las organiuzaciones de salud ayuden a agilizar este tipo de ayuda.
   el problema es que la m,",,,,,,,,,,,,,,,,,,
MUCHAS FELICIDADES TRINY ,QUE BIEN SALEN TODO ,muy alegre convivio,un saludo,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Haber si no les rebanan las huellas dactilares a las personas fallecidas con tal de seguirnos @?'/-:""!@?!,",,,,,,,,,,,,,,,,,,
La verdad que si, haber si se les puede tapar un pocooo el robo de votos aunque los que son mañosos le buscan por donde sea con tal de segui,,,,,,,,,,,,,,,,,
Felicidades Alex , saludos Gustavo.,,,,,,,,,,,,,,,,,
Felicidades Alex y que sigan celebrando.,,,,,,,,,,,,,,,,,,
Eso es todo mi alcalde apoyando a la juventud,,,,,,,,,,,,,,,,,,
Perfectos.,,,,,,,,,,,,,,,,,,
Saludoss alos dos,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Feliz cumple Alex me da gusto verlos a los dos y celebren mucho mucho un abrazo💋,,,,,,,,,,,,,,,,,,
Alex pasala bien.te invito unos taquitos em esperanza.,,,,,,,,,,,,,,,,,,
muchasssss felicidadessssssss,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
si no  hubiera corrupción....los resultados hubieran sido diferestes....pero tambien eso es culpa de nosotros los ciudadanos que estemos peo,,,,,,,,,,,,,,,,,,
Antes de todo esto, no se veía posible una alternativa. Hoy sabemos que si es posible y que si bien aun existen muchas cosas cambiar, que la,,,,,,,,,,,,,,,,
Para la proxima espero te lances de nuevo, si eso pasa viajo desde Emiratos Arabes hasta Obregon para votar x ti. Gracias x ser un ciidadano,,,,,,,,,,,,,,,,,
Fuimos muy contentos a ese evento mi cuñado Tono u su esposa mi hermano Ernesto y todavía andaba mi amado hermano Chentio lo felicito y hay ,,,,,,,,,,,,,,,,,,
"Yo no dejo de confiar en usted GUSTAVO ALMADA 
Puro pa delante lo voy a apoyar para la próxima campaña y no dejaremos que nos roben los voto,",,,,,,,,,,,,,,,,,,
Y que seguimos pensando que con usted si huviera visto cambio no que seguimos cada vez peor...,,,,,,,,,,,,,,,,,,
Lo apoyamos sr Almada es el mejor yo fui al cierre y estubo muy bien y es un ganador pese a Kien le pese puro p adelante,,,,,,,,,,,,,,,,,,
A la otra si se hace mi Gustavo.... Aaanimo !!!!,,,,,,,,,,,,,,,,,,
Si las elecciones hubieran sido legales .......,,,,,,,,,,,,,,,,,,
Muy cierto siga luchando,,,,,,,,,,,,,,,,,,
Le paso lo ke yahir en la academia 😄,,,,,,,,,,,,,,,,,,
Ya sabes gustavo tu sigue adelante cuentas con mi apoyo,,,,,,,,,,,,,,,,,,
Sabemos que usted fue el triunfador yo deposité mi voto y lo volvería a hacer gente ya basta pan con lo mismo busquemos el cambio en nosotro,,,,,,,,,,,,,,,,,,
Alex Aguero Madero  :),,,,,,,,,,,,,,,,,,
Claro que si amigo victor se esta trabajando, Gustavo no puede dejar a medias la confianza que los ciudadanos depositamos en el ahora vamos ,,,,,,,,,,,,,,,,,
Espero que lo volvamos a intentar de nuevo , va a ver que seguira sumando votos No restando,,,,,,,,,,,,,,,,,
Así es todo está en nosotros,,,,,,,,,,,,,,,,,,
Yo presente en primera fila.....,,,,,,,,,,,,,,,,,,
..y aprovechando que lo veo por aquí..no podría darle una ajustadita a sus regidores??..parecen del pri..le aprueban y avalan todo...incluid,,,,,,,,,,,,,,,,,,
Poco a poco se ira sumando gente a este Movimiento ciudadano , gente que queremos y amamos nuestra patria y el bienestar de nuestras familia,,,,,,,,,,,,,,,,,
Yo estoy esperando con ansias que se acabe el mandato de este gobierno tan corrupto y con el favor de Dios se nos haga que se lance usted ap,,,,,,,,,,,,,,,,,,
Aun es tiepo a un se puede hagámoslo posible,,,,,,,,,,,,,,,,,,
Los ciudadanos nos dimos cuenta que si hay personas con convicción, y seguir fortaleciendo este movimiento 💪..  Contó con nuestro apoyo y as,,,,,,,,,,,,,,,,,
Muy bonito mitin lo recuerdo y lo avaló saludos Gustavo Almada.,,,,,,,,,,,,,,,,,,
Ánimo adelante Amigo,,,,,,,,,,,,,,,,,,
No. No es meramente la Corrupción eso es un engaño. Es el TLC, la desintegración de la industria,  y las maquilas.la desaceleración industri,,,,,,,,,,,,,,,,
No mientan,,,,,,,,,,,,,,,,,,
Totalmente de acuerdo ! Y Lo invito a que conozca el trabajo que estamos haciendo en la APOS AC (asociación de productores Organico Sonora) ,,,,,,,,,,,,,,,,,,
